task_started,object_available,gripper_width_cm,distance_ee_object_cm,grasp_completed,finger_contacts,grasp_attempts,object_lift_height_cm,distance_object_goal_cm,task_aborted,action,anticipated_scenario,SAT
1,1,7,28,0,0,0,0,40,0,,,
1,1,7,25,0,0,0,0,40,0,,,
1,1,7,22,0,0,0,0,40,0,,,
1,1,7,19,0,0,0,0,40,0,,,
1,1,7,16,0,0,0,0,40,0,,,
1,1,7,13,0,0,0,0,40,0,,,
1,1,7,11,0,0,0,0,40,0,,,
1,1,7,9,0,0,0,0,40,0,,,
1,1,7,9,0,0,0,0,40,0,,,
1,1,7,8,0,0,0,0,40,0,,,
1,1,7,4,0,0,0,0,40,0,,,
1,1,7,1,0,0,0,0,40,0,,,
1,1,0,0,1,0,1,0,40,0,approach_object,APPROACH_OBJECT,True
1,1,7,0,1,0,1,0,40,0,close_gripper,GRASP_OBJECT,True
1,1,7,1,0,0,1,0,40,0,,,
1,1,7,2,0,0,1,0,40,0,,,
1,1,7,5,0,0,1,0,40,0,,,
1,1,7,8,0,0,1,0,40,0,,,
1,1,7,11,0,0,1,0,40,0,,,
1,1,7,13,0,0,1,0,40,0,,,
1,1,7,13,0,0,1,0,40,0,,,
1,1,7,9,0,0,1,0,40,0,,,
1,1,7,6,0,0,1,0,40,0,,,
1,1,7,3,0,0,1,0,40,0,,,
1,1,7,0,0,0,1,0,40,0,,,
1,1,7,0,0,0,1,0,40,0,,,
1,1,3,0,1,2,2,0,40,0,,,
1,1,3,0,1,2,2,2,40,0,,,
1,1,3,0,1,2,2,5,39,0,,,
1,1,3,0,1,2,2,8,39,0,,,
1,1,3,0,1,2,2,11,38,0,,,
1,1,3,0,1,2,2,14,38,0,,,
1,1,3,0,1,2,2,16,34,0,lift_object,LIFT_OBJECT,False
1,1,3,0,1,2,2,15,31,0,,,
