episode,step,object_available,task_started,gripper_width_cm,distance_ee_object_cm,grasp_completed,finger_contacts,grasp_attempts,object_lift_height_cm,distance_object_goal_cm,task_aborted,lateral_friction,fingers_width,dist_ee_to_cube,dist_cube_to_target,obstacle_in_path,obstacle_count_in_path,reward,is_success,ee_x,ee_y,ee_z,ee_vx,ee_vy,ee_vz,cube_x,cube_y,cube_z,cube_roll,cube_pitch,cube_yaw,cube_vx,cube_vy,cube_vz,target_x,target_y,target_z,action_x,action_y,action_z,action_gripper,j0,j1,j2,j3,j4,j5,j6,jv0,jv1,jv2,jv3,jv4,jv5,jv6,current_subtask,current_task,active_target_name,objects.object_1.type,objects.object_1.size.0,objects.object_1.size.1,objects.object_1.size.2,objects.object_1.mass,objects.object_1.color.0,objects.object_1.color.1,objects.object_1.color.2,objects.object_1.color.3,objects.object_1.initial_position.0,objects.object_1.initial_position.1,objects.object_1.initial_position.2,objects.object_1.spinning_friction,objects.object_1.current_position.0,objects.object_1.current_position.1,objects.object_1.current_position.2,objects.unknown_object.type,objects.unknown_object.size.0,objects.unknown_object.size.1,objects.unknown_object.size.2,objects.unknown_object.mass,objects.unknown_object.color.0,objects.unknown_object.color.1,objects.unknown_object.color.2,objects.unknown_object.color.3,objects.unknown_object.initial_position.0,objects.unknown_object.initial_position.1,objects.unknown_object.initial_position.2,objects.unknown_object.spinning_friction,objects.unknown_object.current_position.0,objects.unknown_object.current_position.1,objects.unknown_object.current_position.2,scene.table.length,scene.table.width,scene.table.height,scene.table.x_offset,scene.table.lateral_friction,scene.table.spinning_friction,robot_config.control_type,robot_config.block_gripper,robot_config.base_position.0,robot_config.base_position.1,robot_config.base_position.2,target_goal.type,target_goal.targets.0.name,target_goal.targets.0.position.0,target_goal.targets.0.position.1,target_goal.targets.0.position.2,target_goal.mode,scripts.script_1,scripts.reach_only,scripts.left_right,active_state,active_scenario_name,active_scenario_type,sat
1,2,1,1,7,25,0,0,0,0,39,0,0.5,0.07881755381822586,0.2805961072444916,0.3999989628791809,False,0,-0.3999989628791809,False,-0.022480305284261703,2.000498352572322e-05,0.18421195447444916,-0.369268536567688,0.0001025600140565075,-0.07557259500026703,-0.24999895691871643,-1.9993376554339193e-05,0.019988173618912697,-8.116137178149074e-05,-7.949281098262873e-06,-0.000101416815596167,-7.532584618274996e-07,0.00045953341759741306,0.0002172135136788711,0.15000000596046448,0.0,0.019999999552965164,-0.9848906993865967,-0.0001167830778285861,-0.1731770783662796,1.0,-0.0006494129766956723,0.2683282756380472,0.0006991690501030872,-2.107774336554835,-0.0002593985864084845,2.3756304192213475,0.7856652595615705,-0.0007138007042923156,-0.7571124841904511,0.0007968789639875812,-1.3320442492157643,2.9236314534978117e-05,0.43891852629059447,-0.003821573316326041,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.24999895423244198,-1.999337565984623e-05,0.0199881744520639,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500054315713912,0.024882259312814677,0.01999414053145022,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,3,1,1,7,22,0,0,0,0,39,0,0.5,0.079856276512146,0.25014784932136536,0.3999986946582794,False,0,-0.3999986946582794,False,-0.055588942021131516,3.021646807610523e-05,0.177401602268219,-0.38924646377563477,0.00020295631838962436,-0.06540020555257797,-0.24999868869781494,-2.3162840079749003e-05,0.01998879574239254,8.623113535577431e-05,2.4629555355204502e-06,-0.00010463706712471321,-3.6922359868185595e-05,-0.00015481864102184772,2.604319161036983e-05,0.15000000596046448,0.0,0.019999999552965164,-0.9854626655578613,-0.00017324686632491648,-0.16989189386367798,1.0,-0.0006850800621574731,0.19721935189452477,0.0007421549668812415,-2.2342819260101066,-0.00021285877925232108,2.431139645453206,0.7855836781398247,-0.0002748758947860486,-0.8030065912272312,0.0006043415621648229,-1.3457053519347761,0.0003621568193039569,0.4268139942031145,-0.0006272852621225233,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.24999869392205562,-2.3162839668221173e-05,0.01998879499492134,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500050792163134,0.024946106510285827,0.019995728123989347,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,4,1,1,7,19,0,0,0,0,39,0,0.5,0.07998256385326385,0.21994301676750183,0.399999737739563,False,0,-0.399999737739563,False,-0.08968507498502731,4.233136132825166e-05,0.17056682705879211,-0.40075045824050903,0.00023959417012520134,-0.07011768966913223,-0.24999971687793732,-2.4108949219225906e-05,0.019987482577562332,0.00015678921772632748,3.713126659476984e-07,-5.7119028497254476e-05,-2.6338357201893814e-05,-1.083408960766974e-06,-1.2031089681840967e-05,0.15000000596046448,0.0,0.019999999552965164,-0.9863846898078918,-0.00027083276654593647,-0.16445419192314148,1.0,-0.0007109792131771962,0.12630625694726483,0.0007875175425943295,-2.358249442843885,-0.00015245745711427468,2.484570987766987,0.7855480407347315,-0.00019980156822431254,-0.8023870905519163,0.000725471108091195,-1.3278048975722292,0.00046921085557291055,0.4108368584085381,-0.000274018502210982,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.24999971963606243,-2.410894878270369e-05,0.01998748296096571,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500062610221986,0.02494309023419244,0.019993107525581304,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,5,1,1,7,16,0,0,0,0,40,0,0.5,0.07999791949987411,0.19003422558307648,0.40000081062316895,False,0,-0.40000081062316895,False,-0.1251048743724823,5.193455217522569e-05,0.16321441531181335,-0.38101914525032043,0.0006498773000203073,-0.0494200773537159,-0.25000080466270447,-2.3854807295720093e-05,0.01998729817569256,0.0001666105235926807,-2.219283487647772e-06,-6.9667003117501736e-06,-2.7983180189039558e-05,1.0489971828064881e-05,-5.41989493285655e-07,0.15000000596046448,0.0,0.019999999552965164,-0.9875086545944214,-0.00040926007204689085,-0.15756408870220184,1.0,-0.0007320555613585531,0.05545802769421581,0.0008367663302093723,-2.480565318046478,-7.58737354756657e-05,2.535222963804498,0.7855082500199401,-0.00016369803123954946,-0.8109326147931794,0.0017088354290272986,-1.2507297278299885,0.000599636826136311,0.38946481061582794,-0.00030595359118423815,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.2500008080814959,-2.3854807565728908e-05,0.019987297593555133,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500079265964379,0.024941279785808096,0.01999256700479498,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,6,1,1,7,13,0,0,0,0,40,0,0.5,0.07999978214502335,0.16288703680038452,0.4000019431114197,False,0,-0.4000019431114197,False,-0.16071921586990356,5.04803829244338e-05,0.1562252938747406,-0.4082198739051819,0.0007506959373131394,-0.06679514050483704,-0.2500019371509552,-2.33766022574855e-05,0.01998733915388584,0.00016529412823729217,-4.420096956891939e-06,4.5318494812818244e-05,-2.940996637335047e-05,8.960820196080022e-06,9.33653439005866e-07,0.15000000596046448,0.0,0.019999999552965164,-0.9895179271697998,-0.000600459345150739,-0.14440874755382538,1.0,-0.0007485819713808647,-0.016347054851560815,0.000871026810099478,-2.600410970194075,2.308523412244738e-05,2.5838918331450813,0.7854449686004026,-0.00012737191133794633,-0.8300302884590511,0.0022096093713403295,-1.283671139703331,0.0007601785876021807,0.3742152704390142,-0.00048657526421913653,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.2500019319133653,-2.3376602834777354e-05,0.019987338747623172,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500102566097471,0.02493958657281247,0.019992407956908452,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,7,1,1,7,11,0,0,0,0,40,0,0.5,0.07999999821186066,0.1396269053220749,0.4000031352043152,False,0,-0.4000031352043152,False,-0.1970347911119461,3.243882383685559e-05,0.14917714893817902,-0.4311785399913788,0.00033767562126740813,-0.08161548525094986,-0.2500031292438507,-2.3001861336524598e-05,0.019987275823950768,0.00017044901323970407,-5.961869192105951e-06,0.00010148321598535404,-3.044450204470195e-05,9.253838470613118e-06,-1.7313082025793847e-06,0.15000000596046448,0.0,0.019999999552965164,-0.992171049118042,-0.0008207496721297503,-0.12488390505313873,1.0,-0.0007561742851497774,-0.08969084604162059,0.0008676713272953557,-2.718149448972002,0.0001445546064539296,2.627772972854505,0.7853386122047223,-5.6334064939212326e-05,-0.852132707302421,0.001457454398100552,-1.3031421038289166,0.0009285211499312253,0.3374020930910491,-0.0008176392578337355,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.2500031224861518,-2.300186114820493e-05,0.01998727517285134,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500139653917696,0.02493803773271732,0.01999217974427706,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,8,1,1,7,9,0,0,0,0,40,0,0.5,0.07999999821186066,0.1238340362906456,0.4000043570995331,False,0,-0.4000043570995331,False,-0.23363886773586273,-3.3630169582465896e-06,0.14273512363433838,-0.42973965406417847,-6.824571755714715e-05,-0.07219881564378738,-0.2500043511390686,-2.258592030557338e-05,0.019987251609563828,0.00017204546020366251,-6.761789336451329e-06,0.00016088460688479245,-3.103409835603088e-05,1.0185939572693314e-05,-5.031091063756321e-07,0.15000000596046448,0.0,0.019999999552965164,-0.9968855381011963,-0.0010434163268655539,-0.07885506004095078,1.0,-0.0007498587117278873,-0.16759805617723444,0.0008073686228048072,-2.833688587717037,0.0002754185431631031,2.6648362065537596,0.7851787252207194,5.2641741312670185e-05,-0.9250363577467002,0.0003838060947386913,-1.2919869095325294,0.0009990547960272078,0.2849793686840077,-0.0012293774927853909,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.25000436259669356,-2.2585920336112673e-05,0.019987252051876042,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500190645164376,0.02493858876986745,0.01999242625753471,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,9,1,1,7,9,0,0,0,0,40,0,0.5,0.07999999821186066,0.12139807641506195,0.40000563859939575,False,0,-0.40000563859939575,False,-0.2713764011859894,-5.0679653213592246e-05,0.13948944211006165,-0.37389570474624634,-0.0003261426754761487,0.02611377276480198,-0.2500056326389313,-2.2198772057890892e-05,0.019987214356660843,0.00017460105300415307,-7.019486019999022e-06,0.00022200266539584845,-3.20797880704049e-05,9.590828994987532e-06,-1.0142346127395285e-06,0.15000000596046448,0.0,0.019999999552965164,-0.9906628727912903,-0.0011636321432888508,0.1363292634487152,1.0,-0.0007323811470698131,-0.26434518188736417,0.0006848097455398773,-2.9452911515249225,0.00038498118598185503,2.6724982491646725,0.7849790023460295,0.00013736559367675183,-1.3024236221838712,-0.0006353025165942718,-1.227604950362293,0.0008380318811291683,0.058912733735233966,-0.0015356765638853635,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.2500056260750354,-2.2198772900202945e-05,0.01998721397114858,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500248566644142,0.024939472218079912,0.019992859952636558,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,10,1,1,7,8,0,0,0,0,40,0,0.5,0.07999999076128006,0.10796309262514114,0.4000069200992584,False,0,-0.4000069200992584,False,-0.2590548098087311,-4.7561610699631274e-05,0.12757046520709991,-0.4097202718257904,0.0004811679827980697,-1.0625076293945312,-0.25000691413879395,-2.181469608331099e-05,0.01998717524111271,0.00017713947454467416,-7.4247686825401615e-06,0.0002848285948857665,-3.2908592402236536e-05,9.602048521628603e-06,-9.148330946118222e-07,0.15000000596046448,0.0,0.019999999552965164,0.2205708622932434,0.0002939552068710327,-0.9753708839416504,1.0,-0.0007596932414560567,-0.1839706308328902,0.0007263586862039316,-2.940173604777957,0.0003310871408326232,2.7943421480896116,0.7850468025000565,-0.00019823561429019144,3.634139367837403,0.00013283652730886075,0.27014416074279507,-0.00041479244689399813,0.9368664917221086,0.0005235254918003179,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.25000692680169434,-2.181469691829251e-05,0.019987175562667076,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.2500308857270107,0.024940259060649672,0.019993236387533312,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
1,11,1,1,7,4,0,0,0,0,40,0,0.5,0.07999999076128006,0.07002588361501694,0.40000826120376587,False,0,-0.40000826120376587,False,-0.26480162143707275,-3.665282201836817e-05,0.08843260258436203,-0.27144747972488403,0.0003649837744887918,-0.6196111440658569,-0.2500082552433014,-2.1431456843856722e-05,0.019987139850854874,0.00017945101717486978,-7.795576493663248e-06,0.00034930219408124685,-3.369776823092252e-05,9.565314940118697e-06,-8.273902381006337e-07,0.15000000596046448,0.0,0.019999999552965164,0.10890901833772659,0.0003099145251326263,-0.9940516948699951,1.0,-0.0008052865693946486,-0.028595236704409884,0.000729844188396133,-2.9115309892402967,0.0002113972870584663,2.860617168415572,0.785127675887494,-0.00034827152300948017,2.193072074483894,0.00020635141119458578,0.278127015682652,-0.0009222595090445027,0.5095927490672212,0.0006218399895349174,APPROACH_OBJECT,OBJECT_DELIVERY_SEQUENCE,target,box,0.04,0.04,0.04,1.0,0.1,0.2,0.9,1.0,-0.25,0.0,0.02,0.001,-0.25000825982627983,-2.1431456470808857e-05,0.01998714069984401,box,0.04,0.01,0.04,0.3,0.9,0.4,0.1,1.0,-0.25,0.02,0.02,0.001,-0.25003719280308,0.02494104601474792,0.0199935855752091,1.1,0.7,0.4,-0.3,3.0,0.001,ee,False,-0.6,0.0,0.05,goal_sequence,target,0.15000000596046448,0.0,0.019999999552965164,goal_sequence,True,True,True,S2,APPROACH_OBJECT,D,
